Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths,Summary
"Southeast, Central Tornado Outbreak (December 2021)",Severe Storm,20211210,20211210,4424.1,3915,93,"Historic December tornado outbreak across several southeast and central states caused devastating damage across many towns and cities. This outbreak produced two long-tracked EF-4 tornadoes across Arkansas, Missouri, Tennessee and Kentucky. The longest tornado track was nearly 166 miles across Kentucky and a small portion of Tennessee. This was the longest-tracked tornado on record in Kentucky and was a U.S. record tornado track length for the month of December. There were over 800 total miles of tornado path length on December 10. The peak intensity from this outbreak was EF-4 rated wind speeds of 190 mph in Mayfield, Kentucky. This day was also the deadliest December tornado outbreak recorded in the United States surpassing the Vicksburg, Mississippi tornado of December 5, 1953, which caused 38 fatalities."
Midwest Derecho and Tornado Outbreak (December 2021),Severe Storm,20211215,20211215,2013.8,1782,1,"A rare, record-breaking December derecho and tornado outbreak caused widespread damage that was focused across Kansas, Nebraska, Iowa, Minnesota and Wisconsin. There were many reports of hurricane-force thunderstorm wind gusts and more than 50 tornadoes causing widespread damage to homes, vehicles, businesses and infrastructure. This was the first December derecho on record to occur within the United States. This event also produced the first December tornado on record in Minnesota since 1950, with 17 tornadoes reported across southeast Minnesota."
Western Wildfires (2021),Wildfire,20210601,20211231,12064,10400,8,"Western drought conditions were persistent throughout 2021, as the drought expanded and intensified across many Western states. A historic heat wave also developed for many days across the Pacific Northwest shattering numerous all-time high temperature records across the region. This prolonged heat dome was maximized over the states of Oregon and Washington and extended well into Canada. These extreme temperatures impacted several major cities and millions of people. For example, Portland reached a high of 116 degrees F while Seattle reached 108 degrees F. These extreme temperatures caused hundreds of direct and indirect heat-related fatalities across Oregon and Washington, not including excess mortality that may be hundreds of additional deaths. This combined drought and heat rapidly dried out vegetation across the West, impacting agriculture. Low water levels also forced the hydroelectric power plant at Lake Oroville in California to shut down for the first time since it opened in 1967."
Western Drought and Heat Wave (2021),Drought,20210101,20211231,10117.2,8431,229,"Severe drought conditions and periods of extreme heat provided conditions favorable for another damaging western wildfire season most focused across California, Colorado, Oregon, Washington, Idaho, Montana and Arizona. The Dixie Fire consumed over 960,000 acres making it the second-largest wildfire on record in California while also destroying more than 1,000 structures. California's Caldor Fire grew rapidly during August, threatening South Lake Tahoe communities and burned over 220,000 acres. Other large wildfires included the Ford Corkscrew Fire (Washington), the Bootleg Fire (Oregon), the Boundary Fire (Idaho), the Trail Creek Fire (Montana) and the Telegraph Fire (Arizona), among many others. There was also the Marshall Fire in Boulder County, Colorado on December 30 that damaged or destroyed more than 1,000 homes and businesses. This wildfire is the most destructive on record in Colorado. Throughout the wildfire season air quality was also a concern across numerous states, as ash and fine particulates from wildfires obscured the skies and made outdoor activities more hazardous. Over 7.1 million acres burned nationally during the 2021 wildfire season."
Texas Hail Storms (February 2022),Severe Storm,20220221,20220222,1118.9,1008,0,"Overnight hail storms impacted numerous counties across north central Texas. In particular, the counties of Denton, Collin and Wise were impacted by ping pong to golf ball sized hail causing damage to homes, vehicles and businesses."
Southern Tornado Outbreak (March 2022),Severe Storm,20220330,20220330,1369.4,1256,2,"An outbreak of 83 tornadoes was focused across the Gulf Coast states including Louisiana, Mississippi, Alabama, and Florida."
Southeast Tornado Outbreak (April 2022),Severe Storm,20220404,20220406,1544.8,1417,3,"A tornado outbreak on April 4-6 with a combined 100 preliminary tornadoes reported. The tornadoes occurred across Texas, Louisiana, Mississippi, Alabama, Georgia, Florida and South Carolina. Many of these tornadoes were clustered along the southern regions of Mississippi, Alabama, Georgia and South Carolina. During this three-day period many of these tornadoes were rated as either EF-1 or EF-0, but there were also nine EF-2, three EF-3 and one EF-4 tornado. This EF-4 occurred in Pembroke, Georgia on April 5th with winds of 185 mph that destroyed several neighborhoods. Many of the other tornadoes across the South caused considerable damage to homes, businesses, vehicles, and other infrastructure."
Southern Severe Weather (April 2022),Severe Storm,20220411,20220413,2915.7,2675,1,"Severe weather including hundreds of damaging wind reports and dozens of tornadoes occurred across Arkansas, Louisiana, Mississippi, Alabama, Texas, Tennessee and Kentucky. On April 11, tornadoes and damaging hail was focused across central Arkansas causing damage to homes, vehicles, outbuildings and farms and vegetation. April 12 and 13 produced widespread high wind reports and dozens of tornadoes across central Mississippi, northeast Arkansas and west-central Kentucky. These tornadoes produced damage to homes, businesses, farms, outbuildings and other infrastructure. There was also considerable hail damage across Wisconsin and Minnesota."
Southern and Central Severe Weather (May 2022),Severe Storm,20220501,20220503,1230.1,1139,1,"Severe weather producing high winds and large, damaging hail impacted several Southern and Central states including Texas, Oklahoma, Ohio and Pennsylvania. Many homes, businesses, vehicles and agriculture assets were damaged."
North Central Hail Storms (May 2022),Severe Storm,20220509,20220509,2354.4,2160,0,"Numerous hail storms caused extensive damage across south-central Minnesota and into western Wisconsin. There were many reports of golf ball to baseball-sized hail damaging homes, vehicles, businesses and other infrastructure."
North Central Severe Weather (May 2022),Severe Storm,20220511,20220512,2949.6,2706,1,"""Severe weather causes tornado  hail and high wind damage across several states including South Dakota  Nebraska  Minnesota and Wisconsin. Hail and high winds impacted southern Minnesota including the cities of St. Cloud and the Minneapolis metro area. In addition  numerous reports of high wind damage occurred across eastern Nebraska. There were also more than two dozen tornadoes that impacted eastern South Dakota and central Minnesota causing damage to homes  vehicles  businesses  agriculture and other infrastructure."""
North Central Hail Storms (May 2022),Severe Storm,20220519,20220519,2625.4,2431,0,"Severe hail storms with numerous reports of golf-balled sized hail causing damage across southeastern Minnesota and western Wisconsin. These hail storms were south of the hail storms that damaged many homes, vehicles and businesses just 10 days earlier on May 9."
Central Severe Weather (June 2022),Severe Storm,20220607,20220608,2025.7,1911,0,"Severe weather produced damaging hail, high wind and damage from more than two dozen tornadoes across numerous states including Colorado, Nebraska, Kansas, Missouri, Oklahoma, Texas, Iowa and Ohio. Hail and high wind damage was severe across much of Nebraska causing widespread damage to homes, businesses, vehicles, farms and agriculture and other infrastructure."
Central Derecho (June 2022),Severe Storm,20220613,20220613,3386.6,3195,1,"A powerful derecho carved a path a high wind damage across several states with the impacts focused in Michigan, Illinois, Indiana and Ohio. Thousands of trees were downed from the high winds causing damage to many homes, businesses, vehicles, power lines and other infrastructure. There was also considerable hail damage across southern Wisconsin."
North Central and Eastern Severe Weather (July 2022),Severe Storm,20220722,20220724,1420.4,1340,1,"Severe weather with high winds and 19 tornadoes impact numerous states including North Dakota, Minnesota, Wisconsin, Michigan, Illinois, Indiana, Ohio, Pennsylvania, Virginia, Maryland and New York. Many homes, businesses, vehicles, agriculture and other infrastructure were damaged."
Kentucky and Missouri Flooding (July 2022),Flooding,20220726,20220728,1552.9,1465,42,"Eastern Kentucky and eastern Missouri were impacted by major flooding from a stalled frontal system, which damaged thousands of homes, businesses, vehicles and other infrastructure in late-July. Areas around St. Louis received 8-12 inches of rainfall that required swift water rescues due to flooded interstates and homes across the St. Louis metropolitan area. A large region of 5-10+ inches of rainfall across eastern Kentucky produced deadly flash flooding. Over 600 helicopter rescues and many swift water rescues by boat were needed to evacuate people who were trapped by the quickly-rising flood waters. The North Fork of the Kentucky River at Jackson also reached major flood stage setting a new record crest of 43.47' (the previous record was 43.1' set in 1939)."
Hurricane Fiona (September 2022),Tropical Cyclone,20220917,20220918,2660.6,2510,25,"Category 1 Hurricane Fiona causes widespread power outage across central and western Puerto Rico. Extreme rainfall (12-18 inches) from an intensifying hurricane resulted in widespread flooding and mudslides causing damage to many homes, businesses, vehicles and other infrastructure. The regional power grid was also significantly impaired."
Hurricane Ian (September 2022),Tropical Cyclone,20220928,20220930,118508,111800,152,"Ian made landfall near Cayo Costa, Florida, as a Category 4 Hurricane with sustained winds of 150 mph. Significant parts of many coastal communities including those along the barrier islands of Captiva, Sanibel, Pine and Fort Myers Beach were washed away by the high winds and storm surge. Ian slowly crossed Florida also causing significant inland flooding across central and eastern portions of the state from widespread rainfall totals of 10-20 inches. The counties of Volusia, Orange, Seminole and Brevard reported totals greater than 20 inches of rainfall. Ian re-emerged over the Atlantic as a tropical storm, re-intensified into a Category 1 hurricane on September 30, and made landfall near Georgetown, SC, with sustained winds of 85 mph causing more coastal flood damage and destroying several large piers near Myrtle Beach, South Carolina. Since 1980, five hurricanes have produced $20+ billion in damage in Florida—Andrew (1992), Charley (2004), Wilma (2005), Irma (2017), and Michael (2018). Hurricanes Andrew and Irma produced the highest damage totals in Florida (approximately $50 billion for each storm). Hurricane Ian's impact is anticipated to exceed $50 billion in insured and uninsured losses. The U.S. has been impacted by landfalling category 4 or 5 hurricanes in five of the last six years including Hurricanes Harvey, Irma, Maria, Michael, Laura, Ida, and Ian."
Hurricane Nicole (November 2022),Tropical Cyclone,20221110,20221111,1081.2,1020,5,"Category 1 Hurricane Nicole made landfall at North Hutchinson Island, Florida producing heavy rain, flooding and coastal erosion. Many of the Florida counties and communities impacted by Nicole were still recovering from the high wind and flooding impacts of Hurricane Ian several weeks earlier. This compounded the existing damage and recovery timeline. Nicole was the first hurricane to make landfall in Florida during November since Hurricane Kate in 1985."
Western Wildfires (Spring-Fall 2022),Wildfire,20220401,20221130,3296.6,3110,17,"Severe drought conditions and periods of extreme heat provided conditions favorable for another damaging western wildfire season most focused across New Mexico, Oregon, Idaho, Montana, California and Alaska. The Calf Canyon and Hermits Peak Fires in New Mexico merged in April consuming over 340,000 acres. This became the largest and most destructive wildfire on record in New Mexico - damaging or destroying over 1,000 structures. Other large wildfires included the Double Creek Fire (Oregon), the Moose Fire (Idaho), the Mosquito Fire (California), the Trail Creek Fire (Montana) and the Lime Complex Fire (Alaska), among many others. Over 7.5 million acres burned nationally during the 2022 wildfire season."
Central and Eastern Winter Storm and Cold Wave (December 2022),Winter Storm,20221221,20221226,8951.7,8445,87,"Historic winter storm and powerful arctic front caused significant impact across much of the nation, bringing heavy rains, snow, ice and high winds that sent temperatures plummeting. More than 200 million people were under a winter weather advisory or warning and more than a million customers, from Texas to Maine, were left without power. Buffalo, New York was paralyzed by near hurricane force winds and continuous snow squalls, which contributed to dozens of fatalities in the region. Additional impacts were widespread frozen water pipes that led to extensive water damage in many homes, businesses and to other critical infrastructure."
Western/Central Drought and Heat Wave (2022),Drought,20220101,20221231,23480.6,20965,136,"Severe drought conditions impacted many Western and Central states. Large reservoirs across the West including Lake Mead, Lake Powell, Lake Oroville, and Shasta Lake, among others continue to be depleted. Lake Mead, the Nation's largest reservoir, is nearing dead pool status and is at the lowest level since it was filled in the 1930s. The Great Salt Lake is also near record-low levels. The impacts of the drought affected crop production across may states and sharply increased feeding costs for livestock. Many segments of the Mississippi River also experienced low water levels causing delays and reductions in river commerce. Extreme heat also developed for many days across Western and Central states. These excess heat conditions caused more than one hundred heat-related fatalities focused across Arizona, Nevada, California, Oregon and Texas. The 2022 drought was one of the costlier droughts on record, with a diverse array of direct impacts across different regions and industries."
Northeastern Winter Storm/Cold Wave (February 2023),Winter Storm,20230202,20230205,1838.8,1751,1,"A strong winter storm produced snow, high winds and bitter cold across numerous Northeastern states. High winds caused widespread power outages in Massachusetts while Mount Washington, New Hampshire observed a wind chill temperature of -108 degrees Fahrenheit. This was one of the coldest wind chill temperatures ever recorded in the United States."
Southern and Eastern Severe Weather (March 2023),Severe Storm,20230302,20230303,6111.1,5876,13,"Severe storms impact numerous southern and eastern states including Texas, Alabama, Mississippi, Tennessee, Kentucky, Indiana and Ohio. Impacts from high wind and tornadoes cause widespread damage to homes, vehicles, businesses, government buildings and infrastructure."
California Flooding (December 2022 - March 2023),Flooding,20221226,20230319,4725,4500,22,"Numerous atmospheric rivers in continuous succession caused severe flooding, record snowfall and copious rainfall that significantly reduced drought deficits across California, between late-December and March 2023. Flooding impacted many homes, businesses, levees, agriculture and other infrastructure particularly across central California."
Southern and Eastern Severe Weather (April 2023),Severe Storm,20230324,20230326,2956,2815,23,"Southern and eastern severe storms including more than 40 tornadoes caused damage across Mississippi, Alabama, Georgia, Tennessee to many homes, businesses, vehicles and other infrastructure. Additional high wind damage occurred in parts of Ohio, West Virginia and Pennsylvania."
Central Tornado Outbreak and Eastern Severe Weather (March 2023),Severe Storm,20230331,20230401,5853.2,5628,33,"A historic tornado outbreak across numerous central states caused widespread damage from at least 145 tornadoes. States most impacted were Illinois, Indiana, Ohio, Missouri, Iowa, Arkansas, Tennessee and Pennsylvania where there was severe damage to homes, businesses, vehicles, agriculture and other infrastructure."
Central and Eastern Severe Weather (April 2023),Severe Storm,20230404,20230406,2956.1,2815,5,"Severe storms produced large hail, high winds and more than 35 tornadoes across many central and southern states. The states most affected were Illinois, Kentucky, Iowa, Indiana, Ohio, Missouri and Michigan where there was considerable damage to homes, businesses, agriculture, vehicles and other infrastructure."
Fort Lauderdale Flash Flood (April 2023),Flooding,20230412,20230413,1133,1100,0,"Historical rainfall and flash flooding inundated Fort Lauderdale and surrounding areas with over 25 inches of rainfall in less than 24 hours. This resulted in many flooded homes, vehicles and businesses. The Fort Lauderdale Airport also closed on April 13 due to the flooding."
Central and Southern Severe Weather (April 2023),Severe Storm,20230415,20230415,1388.3,1335,0,"Several central and southern states including Missouri, Arkansas, Illinois, Texas, Louisiana and the Florida Panhandle were impacted by hail, tornadoes and high winds. These storms caused damage to many homes, vehicles and businesses."
Central Severe Weather (April 2023),Severe Storm,20230419,20230420,3078.4,2960,1,"Severe hail, scattered tornadoes and high winds caused damage across numerous central states. Central Oklahoma was impacted by a cluster of tornadoes. Texas, Missouri, Nebraska, Kansas, Iowa, Illinois and Wisconsin was impacted by hail and high wind damage from severe storms."
Southern Severe Weather (April 2023),Severe Storm,20230425,20230427,1372.8,1320,0,"Southern severe weather across Texas, Georgia and Florida. Considerable hail and wind damage to many homes, businesses, vehicles and other infrastructure."
Central Severe Weather (May 2023),Severe Storm,20230506,20230508,2222.5,2137,1,"Severe weather across numerous central states including Missouri, Illinois, Iowa, and Indiana. There was additional damage in Kentucky, Tennessee, South Carolina and Texas. Large hail, high winds and torandoes caused widespread impact to many homes, businesses, vehicles, farms and other infrastructure."
Central and Eastern Tornadoes and Hail Storms (May 2023),Severe Storm,20230510,20230512,3563,3426,1,"Dozens of tornadoes and severe hail storms from the eastern Rockies and across several central states. The most costly severe hail impacts were focused in Colorado while numerous tornadoes also impacted western Kansas, central Oklahoma and eastern Nebraska. Texas and North Dakota were also impacted from combination of high winds, hail and isolated tornadoes with damage to homes, businesses, vehicles, farms and other infrastructure."
Texas Hail Storms (May 2023),Severe Storm,20230518,20230519,1690,1625,0,"Texas hail storms impact numerous counties across north central Texas. Collin county in particular was impacted by golf ball to tennis ball sized hail causing damage to homes, vehicles and businesses."
Typhoon Mawar (May 2023),Tropical Cyclone,20230524,20230525,4377.5,4250,2,"A Category 4 Typhoon struck Guam on May 24 battering the island for 15 hours until the early morning of May 25. Typhoon Mawar's wind speeds of up to 145 mph damaged residential and commercial buildings, vehicles and infrastructure. Several U.S. military bases including Andersen Air Force Base sustained considerable damage. Guam's international airport also sustained flood damage."
Southern Severe Weather (June 2023),Severe Storm,20230611,20230614,4153.1,4032,0,"Numerous southern states including Texas, Louisiana, Mississippi, Alabama, Georgia, Tennessee, Arkansas, South Carolina and Florida were impacted by hail, tornadoes and high winds. These storms caused damage to many homes, vehicles and businesses across several days of severe storm activity."
Central and Southern Severe Weather (June 2023),Severe Storm,20230615,20230618,3881.1,3768,5,"Severe storms produce over one thousand reports of damaging weather across Oklahoma, Texas, Mississippi, Georgia, Florida, Arkansas and Ohio. Among these reports were over 70 preliminary tornadoes including an EF-3 tornado in Louin, Mississippi. This combination of high winds, hail and tornadoes caused damage to homes, businesses, vehicles, agriculture and other infrastructure. The damage was most focused in Oklahoma."
Rockies Hail Storms and Central and Eastern Severe Weather (June 2023),Severe Storm,20230621,20230626,5401.4,5244,8,"Severe hail storms across Colorado damaged many homes, vehicles and injured approximately 100 people at a large outdoor concert. This multi-day outbreak of severe weather also produced more than 60 tornadoes across portions of Wyoming, Colorado, Minnesota, Indiana, Kentucky and Arkansas that caused damage to homes, businesses, vehicles, agriculture and other infrastructure."
Central Severe Weather (June 2023),Severe Storm,20230628,20230702,1976.8,1919,3,"Severe storms caused damage across numerous Central states. The state most impacted were Missouri, Illinois and Indiana while there were also damage in many surrounding states. The damage to many homes, vehicles, businesses and agriculture assets was largely from high wind and damaging hail but there were also scattered tornado impacts."
Northeastern Flooding and North Central Severe Weather (July 2023),Flooding,20230709,20230715,2230.4,2165,10,"Severe storms brought devastation and flooding to portions of the Northeast, as areas reported up to eight inches of rain within a 24-hour period. Montpelier, Vermont received a record-breaking 5.28 inches of rain, flooding the city and damaging thousands of homes and businesses. The wide scale flooding in Vermont was similar to the flood impacts from Hurricane Irene in 2011. Early estimates put the flood damage in West Point, New York at more than $100 ($103.0) million. There was also considerable damage to roads, bridges and agriculture across the Northeast. Severe storms also caused high wind and hail impacts across Wisconsin, Minnesota and Illinois."
North Central and Southeastern Severe Weather (July 2023),Severe Storm,20230719,20230721,1887,1832,1,"Severe storms caused damage across several North Central and Southeastern states. The states most impacted were Michigan, Wisconsin, Ohio, Tennessee and Georgia. Ping pong to golf ball-sized hail and high winds damaged many homes, vehicles, businesses and other infrastructure."
North Central and Eastern Severe Weather (July 2023),Severe Storm,20230728,20230729,1526.6,1482,2,"Severe storms caused damage across several North Central and Eastern states. The state most impacted were Nebraska, Missouri, Illinois, Indiana and Wisconsin. High wind, severe hail and tornadoes caused damage to many homes, vehicles, businesses and agriculture assets."
Hawaii Firestorm (August 2023),Wildfire,20230808,20230808,5665,5500,100,"More than one thousand reports of high wind, severe hail or tornadoes across many Northeastern and Eastern states. August 7 was a prolific day of severe weather with damage reports from Georgia to New York. These storms caused impacts to many homes, vehicles, businesses, agriculture and other infrastructure."
Northeastern and Eastern Severe Weather (August 2023),Severe Storm,20230805,20230808,1680.2,1631,4,"Devastating wildfires destroyed the historic town of Lahaina on Maui Island of Hawaii. Winds were enhanced from the strength and position of a high-pressure system located northwest of Hawaii, which helped to exacerbate the wildfire as it spread on the island of Maui. Hurricane Dora was also positioned south of Hawaii. This was the deadliest wildfire in the U.S. in over a century. Thousands of homes, vehicles and businesses were destroyed."
Minnesota Hail Storms (August 2023),Severe Storm,20230811,20230811,1828.3,1775,0,"Numerous hail storms caused extensive damage across south-central Minnesota. Golf ball to baseball-sized hail caused damage to the windows, siding and roofs of many homes, vehicles and businesses."
Hurricane Idalia (August 2023),Tropical Cyclone,20230829,20230831,3559.7,3456,5,"Hurricane Idalia made landfall near Keaton Beach in the Big Bend region of Florida as a strong Category 3 hurricane with winds of 125 mph. Idalia was the strongest hurricane to hit the Big Bend region in more than 125 years. Storm surge was about 8 feet above ground at Cedar Key, which caused heavy damage to homes, businesses, vehicles and other infrastructure. Other Big Bend coastal communities were also inundated by storm surge. Idalia produced 5 to 10 inches of rainfall across the Big Bend region of Florida and southeastern portions of Georgia and the Carolinas. The relatively low population density of the Big Bend region helped to reduce the physical exposure and damage costs. Significant flooding was reported in downtown Charleston, SC and nearby Edisto Beach. There was also 2 to 4 feet of storm surge along the Carolina coastline, which was exacerbated by the full moon and high tide cycle."
Southern Hail Storms (September 2023),Severe Storm,20230923,20230924,1694.5,1645,0,"Hail storms impact Texas, Oklahoma and Missouri. The most damaging impacts were in central Texas including Austin, Georgetown, Round Rock and Arlington on September 24. Towns north of Austin in particular were impacted by baseball sized hail causing damage to homes, vehicles and businesses."
Southern/Midwestern Drought and Heatwave (Spring-Fall 2023),Drought,20230401,20230930,14786.7,14082,247,"Drought conditions impacted numerous Southern and Midwestern states (TX, LA, OK, KS, IL, MO, NE) and surrounding states. The agriculture sector has been impacted across these affected states including damage to field crops from lack of rainfall. Ranchers have also been forced to sell-off livestock early in some regions due to high feeding costs. For the second straight year, portions of the Mississippi River have experienced low water levels impacting river commerce. This low flow has also allowed salt water from the Gulf of Mexico to migrate northward, along the bottom of the Mississippi River, impacting water quality in southern Louisiana. Several Northwestern states including Washington, Oregon and Montana have also been impacted by increasing drought effects."
East Coast Storm and Flooding (December 2023),Flooding,20231216,20231218,1301.6,1276,5,"Powerful east coast storm from Florida to Maine produced widespread impacts from heavy rainfall, flooding, high winds and coastal erosion. The heavy rainfall and snowmelt were amplified by record-high temperatures in the Northeast."
Southern Tornado Outbreak and East Coast Storm (January 2024),Severe Storm,20240108,20240110,2780.2,2726,3,"Southern tornado outbreak and east coast storm impacted more than a dozen states. At least 39 preliminary tornadoes were clustered around the Florida Panhandle through the Carolinas while hundreds of high wind reports were scattered up the East Coast reflecting damage to homes, businesses, vehicles and other infrastructure. The strongest tornado was an EF-3 that caused significant damage around Panama City Beach, Florida, after an intense waterspout moved onshore."
Northwest Winter Storm (January 2024),Winter Storm,20240112,20240114,1723.8,1690,20,"A strong artic front moved across Western Washington and Oregon on January 12 and 13 dropping temperatures below freezing. This allowed freezing rain to impact areas along the coast and the Willamette Valley northward into southwest Washington. Numerous locations including Springfield and the Portland metro area were affected by the icing and strong winds, which caused significant tree damage and power outages. Numerous homes, businesses, vehicles and other infrastructure were damaged."
"Central, Southern, Northeastern Winter Storm and Cold Wave (January 2024)",Winter Storm,20240114,20240118,1948.3,1910,41,"A bitterly cold airmass affected numerous central and southern states most including Illinois, Missouri, Kansas, Texas, Mississippi, Arkansas, Tennessee and Georgia. This long-duration cold wave produced sleet and freezing rain accumulations into the deep south, across much of Mississippi. High winds also pushed wind chills well below zero for many states contributing to dozens of fatalities, many in Tennessee. Damage also occurred to homes, vehicles and businesses from the high winds and frozen precipitation."
Southern Severe Weather (February 2024),Severe Storm,20240210,20240212,1072,1051,0,"Severe storms produced up to golf ball sized hail across central and eastern Texas causing damage to homes, vehicles and businesses. Additional damage from hail and high winds and training thunderstorms caused flooding across portions of Louisiana, Alabama, Georgia, Florida and North Carolina."
Central and Eastern Severe Weather (February 2024),Severe Storm,20240227,20240228,1519.1,1504,0,"Severe storms produced two dozen tornadoes, hail and high wind impacts across northern Illinois, central Ohio and southern Michigan. There were additional high wind impacts focused across northern Kentucky and northern Georgia causing damage to homes, vehicles, businesses and other infrastructure."
Central and Southern Severe Weather (March 2024),Severe Storm,20240312,20240314,6091.4,6031,3,"Damaging hail, tornadoes and high wind from severe storms impact many Central and Southern states. Kansas, Oklahoma and Missouri were affected by up to baseball-sized hail damaging homes, vehicles, businesses. Illinois, Indiana and Ohio were impacted by hail, high wind and dozens of tornadoes including a deadly EF-3 striking northwest Ohio."
Central Tornado Outbreak and Eastern Severe Weather (April 2024),Severe Storm,20240401,20240403,2465.5,2441,3,"A central tornado outbreak produced more than 85 tornadoes across a three-day period from Oklahoma to West Virginia. This outbreak included 19 EF-0, 52 EF-1 and 14 EF-2 tornadoes, which were most concentrated across the Ohio River Valley on April 1-2. These tornadoes and severe weather impacts across several eastern states caused damage to homes, businesses, vehicles and other infrastructure."
Southern and Eastern Severe Weather (April 2024),Severe Storm,20240408,20240411,2725.1,2698,0,"Southern and eastern severe weather produced tornadoes, hail and high wind, from Texas to Virginia. The event began with severe hail and high wind impacts across central and eastern Texas, followed by more than 20 tornadoes impacting the Gulf Coast counties of Louisiana, Mississippi, Alabama and Florida. There were additional high wind and tornado impacts in North Carolina and Virginia."
Central and Southern Tornado Outbreak (April 2024),Severe Storm,20240426,20240428,1681,1681,3,"An outbreak producing more than 140 tornadoes developed across several central and southern states including Nebraska, Iowa, Kansas, Missouri, Oklahoma and Texas causing widespread damage to many homes, businesses, vehicles, agriculture and other infrastructure. Eastern Nebraska was particularly impacted by numerous strong tornadoes. Lincoln narrowly avoided a direct hit, with a large tornado touching down on the edge of the city. The same storm also spawned a mile-wide tornado that heavily damaged the towns of Elkhorn, Bennington, and Blair on the outskirts of Omaha. On April 27, an EF-4 tornado struck Marietta, Oklahoma damaging a large commercial distribution center. Near downtown Omaha another EF-3 touched down at Eppley Airfield, which destroyed several hangars and airplanes. Several tornadoes also touched down close to Topeka, Kansas while an EF-3 tornado caused extensive damage to the town of Westmoreland."
"Central, Southern, Southeastern Tornado Outbreak (May 2024)",Severe Storm,20240506,20240509,6234,6234,3,"An outbreak producing more than 165 tornadoes developed across many central, southern and southeastern states. The states most affected include Oklahoma, Kansas, Nebraska, Michigan, Indiana, Ohio, Kentucky, Tennessee, Alabama, North Carolina, South Carolina, Georgia and Florida. This multi-day torando outbreak produced at least 61 EF-0, 79 EF-1, 13 EF-2, three EF-3, one EF-4 tornado and dozens of EF-U (unknown/unrated) tornadoes, causing widespread damage to many homes, businesses, vehicles, agriculture and other infrastructure. The towns of Barnsdall and Bartlesville, Oklahoma were impacted by a violet EF-4 tornado that caused extensive damage."
Southern Severe Weather (May 2024),Severe Storm,20240511,20240513,1124,1124,1,"Damaging hail, tornadoes and high wind impact central and eastern Texas, southern Louisiana and the Florida Panhandle on May 11-13. In addition to golf ball sized hail in Texas, more than a dozen tornadoes cause damage to homes, vehicles, businesses and other infrastructure in near coastal counties of Louisiana, Texas and Florida."
Southern Derecho (May 2024),Severe Storm,20240516,20240517,1335,1335,8,"A rare southern derecho event produced high wind damage from Texas to Florida. Central and eastern Texas were impacted by high winds at times exceeding 100 mph. These winds also ripped through downtown Houston blowing out numerous windows in skyscrapers causing considerable damage. Louisiana, Alabama and Florida also were impacted by damaging winds impacting many homes, vehicles and businesses."
"Central, Southern, Eastern Severe Weather (May 2024)",Severe Storm,20240518,20240522,4859,4859,5,"Severe storms across many central, southern and eastern states produced widespread impacts from several dozen tornadoes, severe hail and high winds. The states most impacted were Nebraska, Kansas, Oklahoma, Texas, Iowa and Wisconsin, as each experienced considerable damage to homes, vehicles, businesses, agriculture and additional infrastructure. On May 21, an EF-4 tornado cut a 44-mile path across southeast Iowa, with peak wind speeds of 175-185 mph. The town of Greenfield, Iowa was heavily damaged. Multiple 'Particularly Dangerous Situation (PDS)' watches were issued by NOAA's National Weather Service for these states, during this multi-day sequence. Several eastern states also sustained high wind damage from these storms."
Central Tornado Outbreak (May 2024),Severe Storm,20240525,20240526,3059,3059,16,"An outbreak producing more than 110 tornadoes developed across many central states. The states most affected include Missouri, Arkansas, Texas, Oklahoma, Illinois and Kentucky causing widespread damage to homes, businesses, vehicles, agriculture and other infrastructure. On May 25, an EF-3 tornado tracked through the Montague, Cooke and Denton counties of Texas, with maximum winds of 140 mph that caused seven fatalities and at least 100 injuries."
Texas Hail Storms (May 2024),Severe Storm,20240527,20240528,2325,2325,1,"Golfball to softball-sized hail caused extensive damage across north and east Texas. Some of these hail storms impacted major cities including Dallas and Houston where homes, vehicles, businesses and other infrastructure were damaged."
Colorado Hail Storms and Southern Severe Weather (May 2024),Severe Storm,20240531,20240601,2453,2453,0,"Severe hail storms caused damage across eastern Colorado, with numerous reports of golf ball to baseball-sized hail. There was considerable damage to homes, vehicles, businesses and other infrastructure. Severe storms also produced high wind damage across Texas."
Central and Eastern Severe Weather (June 2024),Severe Storm,20240612,20240614,1228,1228,0,"Damaging hail, high wind and tornadoes impact several central and eastern states including Missouri, Iowa, Kansas, Nebraska, Minnesota, Ohio, Michigan and Pennsylvania on June 12-14. Central and northern Minnesota received damage from quarter to golf ball sized hail while the metro region of Omaha, Nebraska experienced up to baseball sized hail damaging homes, vehicles and businesses. There were also two dozen tornadoes and hundreds of damaging wind reports across these states."
Central and Northeast Severe Weather (June 2024),Severe Storm,20240624,20240626,1209,1209,3,"High wind, hail and tornadoes impact numerous central and northeastern states on June 24-26. Several states were impacted by tornadoes including Nebraska, Iowa, Pennsylvania, Rhode Island and Massachusetts. On June 25, an EF-3 tornado hit Whitman, Nebraska and the surrounding area. It was the first strong tornado to impact Grant County, Nebraska in more than 70 years. On June 26, a tornado that impacted Providence County, Rhode Island was the first June tornado reported in the state since records began in 1950."
